county_fips,county_name,year,age_group,population,licensed_capacity,participation_rate,need_estimate,gap,gap_pct,severity,color_code,facility_count,data_source,last_updated
8001,Adams,2025,0-2,20460,2792,0.6,12276,9484,0.7725643532095146,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07
8001,Adams,2025,0-5,40920,6512,0.65,26598,20086,0.7551695616211745,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07
8001,Adams,2025,3-5,20460,3720,0.7,14322,10602,0.7402597402597403,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07
8001,Adams,2029,0-2,21187,2792,0.6,12712,9920,0.7803650094398993,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07
8001,Adams,2029,0-5,42374,6512,0.65,27543,21031,0.7635696910285735,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07
8001,Adams,2029,3-5,21187,3720,0.7,14831,11111,0.7491740273750928,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07
8003,Alamosa,2025,0-2,580,153,0.6,348,195,0.5603448275862069,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07
8003,Alamosa,2025,0-5,1160,187,0.65,754,567,0.7519893899204244,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07
8003,Alamosa,2025,3-5,580,34,0.7,406,372,0.916256157635468,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07
8003,Alamosa,2029,0-2,601,153,0.6,361,208,0.5761772853185596,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07
8003,Alamosa,2029,0-5,1202,187,0.65,781,594,0.7605633802816901,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07
8003,Alamosa,2029,3-5,601,34,0.7,421,387,0.9192399049881235,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07
8005,Arapahoe,2025,0-2,22925,4541,0.6,13755,9214,0.6698655034532898,Critical,#d32f2f,494,CO Open Data + CO Demography Office,2025-11-07
8005,Arapahoe,2025,0-5,45851,12899,0.65,29803,16904,0.5671912223601651,Critical,#d32f2f,494,CO Open Data + CO Demography Office,2025-11-07
