county_fips,county_name,year,age_group,population,licensed_capacity,participation_rate,need_estimate,gap,gap_pct,severity,color_code,facility_count,data_source,last_updated,median_income,child_poverty_rate,low_income,high_poverty,equity_score,equity_concern
08001,Adams,2025,0-2,20460,2792,0.6,12276,9484,0.7725643532095146,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07,86297,9.6,False,False,0,Minimal Concern
08001,Adams,2025,0-5,40920,6512,0.65,26598,20086,0.7551695616211745,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07,86297,9.6,False,False,0,Minimal Concern
08001,Adams,2025,3-5,20460,3720,0.7,14322,10602,0.7402597402597403,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07,86297,9.6,False,False,0,Minimal Concern
08001,Adams,2029,0-2,23051,2792,0.6,13831,11039,0.7981346251174897,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07,86297,9.6,False,False,0,Minimal Concern
08001,Adams,2029,0-5,44970,6512,0.65,29230,22718,0.7772151898734178,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07,86297,9.6,False,False,0,Minimal Concern
08001,Adams,2029,3-5,21919,3720,0.7,15343,11623,0.7575441569445349,Critical,#d32f2f,355,CO Open Data + CO Demography Office,2025-11-07,86297,9.6,False,False,0,Minimal Concern
08003,Alamosa,2025,0-2,580,153,0.6,348,195,0.5603448275862069,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07,52271,4.1,True,False,15,Low Concern
08003,Alamosa,2025,0-5,1160,187,0.65,754,567,0.7519893899204244,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07,52271,4.1,True,False,15,Low Concern
08003,Alamosa,2025,3-5,580,34,0.7,406,372,0.916256157635468,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07,52271,4.1,True,False,15,Low Concern
08003,Alamosa,2029,0-2,541,153,0.6,325,172,0.5292307692307693,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07,52271,4.1,True,False,15,Low Concern
08003,Alamosa,2029,0-5,1096,187,0.65,712,525,0.7373595505617978,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07,52271,4.1,True,False,15,Low Concern
08003,Alamosa,2029,3-5,555,34,0.7,388,354,0.9123711340206184,Critical,#d32f2f,14,CO Open Data + CO Demography Office,2025-11-07,52271,4.1,True,False,15,Low Concern
08005,Arapahoe,2025,0-2,22925,4541,0.6,13755,9214,0.6698655034532898,Critical,#d32f2f,494,CO Open Data + CO Demography Office,2025-11-07,92292,8.0,False,False,0,Minimal Concern
08005,Arapahoe,2025,0-5,45851,12899,0.65,29803,16904,0.5671912223601651,Critical,#d32f2f,494,CO Open Data + CO Demography Office,2025-11-07,92292,8.0,False,False,0,Minimal Concern
08005,Arapahoe,2025,3-5,22926,8358,0.7,16048,7690,0.4791874376869391,Critical,#d32f2f,494,CO Open Data + CO Demography Office,2025-11-07,92292,8.0,False,False,0,Minimal Concern
08005,Arapahoe,2029,0-2,22652,4541,0.6,13591,9050,0.6658818335663307,Critical,#d32f2f,494,CO Open Data + CO Demography Office,2025-11-07,92292,8.0,False,False,0,Minimal Concern
08005,Arapahoe,2029,0-5,45344,12899,0.65,29474,16575,0.5623600461423628,Critical,#d32f2f,494,CO Open Data + CO Demography Office,2025-11-07,92292,8.0,False,False,0,Minimal Concern
08005,Arapahoe,2029,3-5,22692,8358,0.7,15884,7526,0.4738101233946109,Critical,#d32f2f,494,CO Open Data + CO Demography Office,2025-11-07,92292,8.0,False,False,0,Minimal Concern
08007,Archuleta,2025,0-2,340,33,0.6,204,171,0.8382352941176471,Critical,#d32f2f,11,CO Open Data + CO Demography Office,2025-11-07,66813,2.6,False,False,5,Minimal Concern
08007,Archuleta,2025,0-5,680,82,0.65,442,360,0.8144796380090498,Critical,#d32f2f,11,CO Open Data + CO Demography Office,2025-11-07,66813,2.6,False,False,5,Minimal Concern
08007,Archuleta,2025,3-5,340,49,0.7,238,189,0.7941176470588235,Critical,#d32f2f,11,CO Open Data + CO Demography Office,2025-11-07,66813,2.6,False,False,5,Minimal Concern
08007,Archuleta,2029,0-2,296,33,0.6,178,145,0.8146067415730337,Critical,#d32f2f,11,CO Open Data + CO Demography Office,2025-11-07,66813,2.6,False,False,5,Minimal Concern
08007,Archuleta,2029,0-5,628,82,0.65,408,326,0.7990196078431373,Critical,#d32f2f,11,CO Open Data + CO Demography Office,2025-11-07,66813,2.6,False,False,5,Minimal Concern
08007,Archuleta,2029,3-5,332,49,0.7,232,183,0.7887931034482759,Critical,#d32f2f,11,CO Open Data + CO Demography Office,2025-11-07,66813,2.6,False,False,5,Minimal Concern
08009,Baca,2025,0-2,101,5,0.6,61,56,0.918032786885246,Critical,#d32f2f,5,CO Open Data + CO Demography Office,2025-11-07,42115,2.8,True,False,25,Low Concern
08009,Baca,2025,0-5,202,15,0.65,131,116,0.8854961832061069,Critical,#d32f2f,5,CO Open Data + CO Demography Office,2025-11-07,42115,2.8,True,False,25,Low Concern
08009,Baca,2025,3-5,101,10,0.7,71,61,0.8591549295774648,Critical,#d32f2f,5,CO Open Data + CO Demography Office,2025-11-07,42115,2.8,True,False,25,Low Concern
08009,Baca,2029,0-2,90,5,0.6,54,49,0.9074074074074074,Critical,#d32f2f,5,CO Open Data + CO Demography Office,2025-11-07,42115,2.8,True,False,25,Low Concern
08009,Baca,2029,0-5,187,15,0.65,122,107,0.8770491803278688,Critical,#d32f2f,5,CO Open Data + CO Demography Office,2025-11-07,42115,2.8,True,False,25,Low Concern
08009,Baca,2029,3-5,97,10,0.7,68,58,0.8529411764705882,Critical,#d32f2f,5,CO Open Data + CO Demography Office,2025-11-07,42115,2.8,True,False,25,Low Concern
08011,Bent,2025,0-2,136,22,0.6,82,60,0.7317073170731707,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45776,8.9,True,False,25,Low Concern
08011,Bent,2025,0-5,272,26,0.65,177,151,0.8531073446327684,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45776,8.9,True,False,25,Low Concern
08011,Bent,2025,3-5,136,4,0.7,95,91,0.9578947368421052,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45776,8.9,True,False,25,Low Concern
08011,Bent,2029,0-2,119,22,0.6,71,49,0.6901408450704225,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45776,8.9,True,False,25,Low Concern
08011,Bent,2029,0-5,245,26,0.65,159,133,0.8364779874213837,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45776,8.9,True,False,25,Low Concern
08011,Bent,2029,3-5,126,4,0.7,88,84,0.9545454545454546,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45776,8.9,True,False,25,Low Concern
08013,Boulder,2025,0-2,8015,2313,0.6,4809,2496,0.5190268247036806,Critical,#d32f2f,292,CO Open Data + CO Demography Office,2025-11-07,99770,3.0,False,False,0,Minimal Concern
08013,Boulder,2025,0-5,16030,4558,0.65,10420,5862,0.5625719769673705,Critical,#d32f2f,292,CO Open Data + CO Demography Office,2025-11-07,99770,3.0,False,False,0,Minimal Concern
08013,Boulder,2025,3-5,8015,2245,0.7,5610,3365,0.5998217468805704,Critical,#d32f2f,292,CO Open Data + CO Demography Office,2025-11-07,99770,3.0,False,False,0,Minimal Concern
08013,Boulder,2029,0-2,7226,2313,0.6,4336,2023,0.4665590405904059,Critical,#d32f2f,292,CO Open Data + CO Demography Office,2025-11-07,99770,3.0,False,False,0,Minimal Concern
08013,Boulder,2029,0-5,14551,4558,0.65,9458,4900,0.518079932332417,Critical,#d32f2f,292,CO Open Data + CO Demography Office,2025-11-07,99770,3.0,False,False,0,Minimal Concern
08013,Boulder,2029,3-5,7325,2245,0.7,5128,2883,0.5622074882995319,Critical,#d32f2f,292,CO Open Data + CO Demography Office,2025-11-07,99770,3.0,False,False,0,Minimal Concern
08014,Broomfield,2025,0-2,2105,772,0.6,1263,491,0.388756927949327,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07,117541,2.5,False,False,0,Minimal Concern
08014,Broomfield,2025,0-5,4211,1398,0.65,2737,1339,0.4892217756667884,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07,117541,2.5,False,False,0,Minimal Concern
08014,Broomfield,2025,3-5,2106,626,0.7,1474,848,0.5753052917232022,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07,117541,2.5,False,False,0,Minimal Concern
08014,Broomfield,2029,0-2,2580,772,0.6,1548,776,0.5012919896640827,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07,117541,2.5,False,False,0,Minimal Concern
08014,Broomfield,2029,0-5,5371,1398,0.65,3491,2093,0.5995416786021197,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07,117541,2.5,False,False,0,Minimal Concern
08014,Broomfield,2029,3-5,2791,626,0.7,1954,1328,0.6796315250767656,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07,117541,2.5,False,False,0,Minimal Concern
08015,Chaffee,2025,0-2,460,88,0.6,276,188,0.6811594202898551,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07,65703,9.3,False,False,5,Minimal Concern
08015,Chaffee,2025,0-5,920,198,0.65,598,400,0.6688963210702341,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07,65703,9.3,False,False,5,Minimal Concern
08015,Chaffee,2025,3-5,460,110,0.7,322,212,0.6583850931677019,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07,65703,9.3,False,False,5,Minimal Concern
08015,Chaffee,2029,0-2,428,88,0.6,257,169,0.6575875486381323,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07,65703,9.3,False,False,5,Minimal Concern
08015,Chaffee,2029,0-5,899,198,0.65,584,386,0.660958904109589,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07,65703,9.3,False,False,5,Minimal Concern
08015,Chaffee,2029,3-5,471,110,0.7,330,220,0.6666666666666666,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07,65703,9.3,False,False,5,Minimal Concern
08017,Cheyenne,2025,0-2,71,22,0.6,43,21,0.4883720930232558,Critical,#d32f2f,6,CO Open Data + CO Demography Office,2025-11-07,65577,0.0,False,False,5,Minimal Concern
08017,Cheyenne,2025,0-5,142,85,0.65,92,7,0.0760869565217391,Low,#9ccc65,6,CO Open Data + CO Demography Office,2025-11-07,65577,0.0,False,False,5,Minimal Concern
08017,Cheyenne,2025,3-5,71,63,0.7,50,-13,-0.26,Adequate,#66bb6a,6,CO Open Data + CO Demography Office,2025-11-07,65577,0.0,False,False,5,Minimal Concern
08017,Cheyenne,2029,0-2,71,22,0.6,43,21,0.4883720930232558,Critical,#d32f2f,6,CO Open Data + CO Demography Office,2025-11-07,65577,0.0,False,False,5,Minimal Concern
08017,Cheyenne,2029,0-5,146,85,0.65,95,10,0.1052631578947368,Moderate,#fbc02d,6,CO Open Data + CO Demography Office,2025-11-07,65577,0.0,False,False,5,Minimal Concern
08017,Cheyenne,2029,3-5,75,63,0.7,52,-11,-0.2115384615384615,Adequate,#66bb6a,6,CO Open Data + CO Demography Office,2025-11-07,65577,0.0,False,False,5,Minimal Concern
08019,Clear Creek,2025,0-2,163,39,0.6,98,59,0.6020408163265306,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07,87169,3.7,False,False,0,Minimal Concern
08019,Clear Creek,2025,0-5,325,113,0.65,211,98,0.4644549763033175,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07,87169,3.7,False,False,0,Minimal Concern
08019,Clear Creek,2025,3-5,162,74,0.7,113,39,0.3451327433628318,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07,87169,3.7,False,False,0,Minimal Concern
08019,Clear Creek,2029,0-2,208,39,0.6,125,86,0.688,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07,87169,3.7,False,False,0,Minimal Concern
08019,Clear Creek,2029,0-5,446,113,0.65,290,177,0.6103448275862069,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07,87169,3.7,False,False,0,Minimal Concern
08019,Clear Creek,2029,3-5,238,74,0.7,167,93,0.5568862275449101,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07,87169,3.7,False,False,0,Minimal Concern
08021,Conejos,2025,0-2,283,4,0.6,170,166,0.976470588235294,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07,44093,9.2,True,False,25,Low Concern
08021,Conejos,2025,0-5,565,99,0.65,367,268,0.7302452316076294,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07,44093,9.2,True,False,25,Low Concern
08021,Conejos,2025,3-5,282,95,0.7,197,102,0.5177664974619289,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07,44093,9.2,True,False,25,Low Concern
08021,Conejos,2029,0-2,285,4,0.6,171,167,0.9766081871345028,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07,44093,9.2,True,False,25,Low Concern
08021,Conejos,2029,0-5,583,99,0.65,379,280,0.7387862796833773,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07,44093,9.2,True,False,25,Low Concern
08021,Conejos,2029,3-5,298,95,0.7,209,114,0.5454545454545454,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07,44093,9.2,True,False,25,Low Concern
08023,Costilla,2025,0-2,100,22,0.6,60,38,0.6333333333333333,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,34578,4.0,True,False,35,Moderate Concern
08023,Costilla,2025,0-5,199,84,0.65,129,45,0.3488372093023256,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,34578,4.0,True,False,35,Moderate Concern
08023,Costilla,2025,3-5,99,62,0.7,69,7,0.1014492753623188,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07,34578,4.0,True,False,35,Moderate Concern
08023,Costilla,2029,0-2,97,22,0.6,58,36,0.6206896551724138,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,34578,4.0,True,False,35,Moderate Concern
08023,Costilla,2029,0-5,202,84,0.65,131,47,0.3587786259541984,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,34578,4.0,True,False,35,Moderate Concern
08023,Costilla,2029,3-5,105,62,0.7,74,12,0.1621621621621621,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07,34578,4.0,True,False,35,Moderate Concern
08025,Crowley,2025,0-2,104,18,0.6,62,44,0.7096774193548387,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07,40685,2.8,True,False,25,Low Concern
08025,Crowley,2025,0-5,208,18,0.65,135,117,0.8666666666666667,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07,40685,2.8,True,False,25,Low Concern
08025,Crowley,2025,3-5,104,0,0.7,73,73,1.0,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07,40685,2.8,True,False,25,Low Concern
