county_name,county_fips,children_in_poverty,children_total,child_poverty_rate
Adams,08001,4776,49625,9.6
Alamosa,08003,99,2418,4.1
Arapahoe,08005,4156,51766,8.0
Archuleta,08007,28,1092,2.6
Baca,08009,22,781,2.8
Bent,08011,102,1146,8.9
Boulder,08013,1086,35674,3.0
Broomfield,08014,93,3679,2.5
Chaffee,08015,199,2137,9.3
Cheyenne,08017,0,183,0.0
Clear Creek,08019,23,617,3.7
Conejos,08021,108,1177,9.2
Costilla,08023,32,792,4.0
Crowley,08025,30,1076,2.8
Custer,08027,3,376,0.8
Delta,08029,388,4525,8.6
Denver,08031,5834,81703,7.1
Dolores,08033,0,389,0.0
Douglas,08035,454,10799,4.2
Eagle,08037,429,4457,9.6
El Paso,08041,5403,65325,8.3
Elbert,08039,61,1124,5.4
Fremont,08043,401,6081,6.6
Garfield,08045,419,4917,8.5
Gilpin,08047,0,538,0.0
Grand,08049,77,1345,5.7
Gunnison,08051,0,1746,0.0
Hinsdale,08053,0,67,0.0
Huerfano,08055,157,1390,11.3
Jackson,08057,10,299,3.3
Jefferson,08059,1907,38194,5.0
Kiowa,08061,37,210,17.6
Kit Carson,08063,34,652,5.2
La Plata,08067,346,6185,5.6
Lake,08065,0,527,0.0
Larimer,08069,1290,40057,3.2
Las Animas,08071,203,2627,7.7
Lincoln,08073,17,485,3.5
Logan,08075,173,2332,7.4
Mesa,08077,1535,17446,8.8
Mineral,08079,0,89,0.0
Moffat,08081,247,1947,12.7
Montezuma,08083,243,3231,7.5
Montrose,08085,221,4904,4.5
Morgan,08087,409,3662,11.2
Otero,08089,449,4350,10.3
Ouray,08091,8,239,3.3
Park,08093,33,1185,2.8
Phillips,08095,46,612,7.5
Pitkin,08097,0,1150,0.0
Prowers,08099,204,2037,10.0
Pueblo,08101,2284,27274,8.4
Rio Blanco,08103,11,799,1.4
Rio Grande,08105,113,1151,9.8
Routt,08107,39,1965,2.0
Saguache,08109,95,1123,8.5
San Juan,08111,0,132,0.0
San Miguel,08113,9,682,1.3
Sedgwick,08115,33,379,8.7
Summit,08117,77,2275,3.4
Teller,08119,89,1727,5.2
Washington,08121,38,446,8.5
Weld,08123,2481,31432,7.9
Yuma,08125,99,1355,7.3
