Unnamed: 0,LICENSE NUMBER,PROVIDER NAME,PROVIDER SERVICE TYPE,STREET ADDRESS,CITY,STATE,ZIP,COUNTY,ECC,CCRR,SCHOOL DISTRICT OPERATED PROGRAM,SCHOOL DISTRICT,QUALITY RATING,QUALITY RATING EFFECTIVE DATE,QUALITY RATING EXPIRATION DATE,CCCAP FISCAL AGREEMENT STATUS,CCCAP AUTHORIZATION STATUS,TOTAL LICENSED CAPACITY,LICENSED HOME CAPACITY,LICENSED CENTER INFANT CAPACITY,LICENSED CENTER TODDLER CAPACITY,LICENSED CENTER PRESCHOOL CAPACITY,LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY,LICENSED SCHOOL AGE CAPACITY,LICENSED NYO CAPACITY,LICENSED RESIDENT CAMP CAPACITY,GOVERNING BODY
1,1694465,Thorne Nature Experience,School-Age Child Care Center,1241 Ceres Drive,Lafayette,CO,80026,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,Boulder Valley School District,,,,True,False,80.0,0.0,0.0,0.0,,,80.0,0.0,0.0,
2,1694743,Thorne Nature Experience Summer Camp Chautauq,School-Age Child Care Center,355 Ponca Place,Boulder,CO,80303,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,Boulder Valley School District,,,,False,False,65.0,0.0,0.0,0.0,,,65.0,0.0,0.0,Thorne Nature Experience
3,1700681,Impact Sports,School-Age Child Care Center,ONE SUPERIOR DR UNIT B,SUPERIOR,CO,80027,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,BOULDER VALLEY SCHOOL DISTRICT,,,,False,False,100.0,0.0,0.0,0.0,,,100.0,0.0,0.0,
4,1701136,Amanda Vogt,Large Family Child Care Home,,Wellington,CO,80549,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,Poudre School District,1.0,,,False,False,8.0,8.0,0.0,0.0,,,0.0,0.0,0.0,
5,1702106,EAST LAKE MONTESSORI,Child Care Center,12585 3rd ST,EastLake,CO,80614,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,Adams 12,1.0,,,False,False,30.0,,,,0.0,30.0,,,,
6,1702648,JCC CAMP SHAI AT GRALAND,School-Age Child Care Center,55 N Clermont ST,Denver,CO,80246,Denver,Denver's Early Childhood Council,Denver's ECC,False,Denver Public Schools,,,,False,False,275.0,0.0,0.0,0.0,,,275.0,0.0,0.0,
7,1527476,MESA ELEMENTARY SCHOOL,Preschool Program,9100 Lowell BLVD,Westminster,CO,80030,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,True,Westminster Public Schools,4.0,2023-07-11,2029-06-30,False,False,20.0,,,,0.0,20.0,,,,
8,1676722,LIGHTWAY AT THE RIDGE,Child Care Center,4340 Harlan ST,Wheat Ridge,CO,80033,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,15.0,0.0,5.0,10.0,,,0.0,0.0,0.0,
9,1679384,Denver Child Care Academy,Child Care Center,3145 W Florida BLVD,Denver,CO,80219,Denver,Denver's Early Childhood Council,Denver's ECC,False,DENVER PUBLIC SCHOOLS,4.0,2024-04-30,2027-04-30,True,True,93.0,0.0,18.0,30.0,0.0,45.0,0.0,0.0,0.0,
10,1696651,TINY HEART ACADEMY,Child Care Center,12755 W Cedar DR,Lakewood,CO,80228,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,2.0,2025-09-10,2028-09-10,True,False,79.0,0.0,21.0,32.0,26.0,0.0,0.0,0.0,0.0,
