county_name,county_fips,median_income
Adams,08001,86297
Alamosa,08003,52271
Arapahoe,08005,92292
Archuleta,08007,66813
Baca,08009,42115
Bent,08011,45776
Boulder,08013,99770
Broomfield,08014,117541
Chaffee,08015,65703
Cheyenne,08017,65577
Clear Creek,08019,87169
Conejos,08021,44093
Costilla,08023,34578
Crowley,08025,40685
Custer,08027,66250
Delta,08029,56349
Denver,08031,85853
Dolores,08033,64708
Douglas,08035,139010
Eagle,08037,98887
El Paso,08041,82748
Elbert,08039,124360
Fremont,08043,56165
Garfield,08045,82772
Gilpin,08047,95902
Grand,08049,79367
Gunnison,08051,76538
Hinsdale,08053,58712
Huerfano,08055,49631
Jackson,08057,38686
Jefferson,08059,103167
Kiowa,08061,45250
Kit Carson,08063,58992
La Plata,08067,81936
Lake,08065,78942
Larimer,08069,87199
Las Animas,08071,48965
Lincoln,08073,59167
Logan,08075,54864
Mesa,08077,68077
Mineral,08079,58929
Moffat,08081,63983
Montezuma,08083,61377
Montrose,08085,62817
Morgan,08087,70471
Otero,08089,47500
Ouray,08091,78750
Park,08093,85019
Phillips,08095,58474
Pitkin,08097,96123
Prowers,08099,49422
Pueblo,08101,59436
Rio Blanco,08103,69882
Rio Grande,08105,57591
Routt,08107,95144
Saguache,08109,51946
San Juan,08111,67344
San Miguel,08113,72829
Sedgwick,08115,45855
Summit,08117,100611
Teller,08119,69655
Washington,08121,59087
Weld,08123,89182
Yuma,08125,60118
